Name,price,link
"
                   Champion X2 Sleek Plus (Green) 
               ",Rs. 499,/champion-x2-sleek-plus/p/itmefdf24t7dy4xp?pid=MOBEFDF2E7WVZGUZ&al=9UVSf0Mge7RUL4FlIiAyJcldugMWZuE7Qdj0IGOOVqubAiauJmJmmjg9jbnPL1PR4k2T%2BlL%2BMMY%3D&ref=L%3A-5850085652172816337&srno=b_27
"
                   A&K A 5RB (Black:Red) 
               ",Rs. 531,/a-k-a-5rb/p/itmed36fkg4kz84w?pid=MOBED36FRFXS4JGD&al=9UVSf0Mge7RUL4FlIiAyJcldugMWZuE7Qdj0IGOOVqu4k9Zprx9iYeMRWNfBpQHxXBgaQObFF70%3D&ref=L%3A-5850085652172816337&srno=b_28
"
                   A&K Bar Phone A 4 (Black) 
               ",Rs. 534,/a-k-bar-phone-4/p/itmeaurv4bhhfb3m?pid=MOBEYNCFFFHDHVHT&al=9UVSf0Mge7RUL4FlIiAyJcldugMWZuE7Qdj0IGOOVqs7ghN6Wq38gVL8yZnDh518kvzHiPf0HkE%3D&ref=L%3A-5850085652172816337&srno=b_29
"
                   Maxfone 512 (Black & White) 
               ",Rs. 540,/maxfone-512/p/itmedzzx9wmhbrje?pid=MOBEDSBB9QCQKH9P&al=9UVSf0Mge7RUL4FlIiAyJcldugMWZuE7Qdj0IGOOVquZhSUrLyXOov8tbVRJ0jd%2F751CDuR%2FhpU%3D&ref=L%3A-5850085652172816337&srno=b_30
"
                   Infix Infix N5- Black (Black) 
               ",Rs. 549,/infix-n5-black/p/itmeczkqvzzhxpgj?pid=MOBECZKQ9CHBATNC&al=9UVSf0Mge7RUL4FlIiAyJcldugMWZuE7Qdj0IGOOVqvvYlAP%2FGQ6nS2JShFbhVZTUnD4EaSCCRU%3D&ref=L%3A-5850085652172816337&srno=b_31
"
                   Infix 101 (Black, White) 
               ",Rs. 570,/infix-101/p/itmeeyshyuyz6zmv?pid=MOBEEYSHV9PHFRHA&al=9UVSf0Mge7Ql43ARsPGGtcldugMWZuE7Qdj0IGOOVquF3NghzjIyrcbLWNXm%2Bu5lQ1Lfc5DtPZ8%3D&ref=L%3A-5850085652172816337&srno=b_32
"
                   Nuvo One-Echo (Without Accessories) (Black) 
               ",Rs. 575,/nuvo-one-echo-without-accessories/p/itmeegfnhuqywern?pid=MOBEEGFNCURBP3PZ&al=9UVSf0Mge7Ql43ARsPGGtcldugMWZuE7Qdj0IGOOVqubylqC7BQ6MlHYMFlH6sWtukz%2BmOy9V1A%3D&ref=L%3A-5850085652172816337&srno=b_33
"
                   Maxfone 506 (Black) 
               ",Rs. 575,/maxfone-506/p/itmec88pvpjav5ph?pid=MOBEC88PHPMT2RKB&al=9UVSf0Mge7Ql43ARsPGGtcldugMWZuE7Qdj0IGOOVqv3s%2FAsF3GyHImxmiiS8kbEh5g7Hz9Qk6U%3D&ref=L%3A-5850085652172816337&srno=b_34
"
                   Infix Vartue C2 01 Dual Sim Multimedia (Black) 
               ",Rs. 580,/infix-vartue-c2-01-dual-sim-multimedia/p/itmecybzgyvbfedg?pid=MOBECYBZMUBGXDQW&al=9UVSf0Mge7Ql43ARsPGGtcldugMWZuE7Qdj0IGOOVqtQfZ%2FhT3H89kCuzuwYNl4bCpKpR0nqLV4%3D&ref=L%3A-5850085652172816337&srno=b_35
"
                   Infix Vartue Dual Sim Multimedia (Black) 
               ",Rs. 580,/infix-vartue-dual-sim-multimedia/p/itmecvhzdpggzhvc?pid=MOBECVHZBFU6MH4F&al=9UVSf0Mge7Ql43ARsPGGtcldugMWZuE7Qdj0IGOOVqtLn1P3V3sZYWwPucAGNbGpdkg9e6lMS7c%3D&ref=L%3A-5850085652172816337&srno=b_36
"
                   Infix EB010 (White) 
               ",Rs. 590,/infix-eb010/p/itmeefzsmw2zjjpj?pid=MOBEEFZSWDHRTZTC&al=9UVSf0Mge7Ql43ARsPGGtcldugMWZuE7Qdj0IGOOVqte3KUyEXXW9%2Fz66HTquW2W7khL1MMFxgQ%3D&ref=L%3A-5850085652172816337&srno=b_37
"
                   Infix EB010 (Blue) 
               ",Rs. 590,/infix-eb010/p/itmeefzsmw2zjjpj?pid=MOBEEFZSQXAY9VQA&al=9UVSf0Mge7Ql43ARsPGGtcldugMWZuE7Qdj0IGOOVqsRIVdyfJnuPvafkV0CGQ0E8VZxRkTA0bk%3D&ref=L%3A-5850085652172816337&srno=b_38
"
                   Infix Nexam N1 Dual Sim Multimedia With Auto Call Recor...
               ",Rs. 590,/infix-nexam-n1-dual-sim-multimedia-auto-call-record/p/itmecybzkapy7hb6?pid=MOBECYBZTRA97KYK&al=9UVSf0Mge7TIPKcvKuTPq8ldugMWZuE7Qdj0IGOOVqtk71fTam1Q6C7iFagcJaTiQ8HU0g5VAoo%3D&ref=L%3A-5850085652172816337&srno=b_39
"
                   Infix EB011 (Blue) 
               ",Rs. 590,/infix-eb011/p/itmeefzsgytxdkhw?pid=MOBEEFZSAPAD4JGY&al=9UVSf0Mge7RB15puWsasecldugMWZuE7Qdj0IGOOVqsXuAuTdB%2BF3CGCFIGcam%2FoArLB%2BwpZfdY%3D&ref=L%3A-2837858685631050888&srno=b_40
"
                   Infix EB011 (White) 
               ",Rs. 590,/infix-eb011/p/itmeefzsgytxdkhw?pid=MOBEEFZSJCNFHYK3&al=9UVSf0Mge7RB15puWsasecldugMWZuE7Qdj0IGOOVqsm8Bw8MYOHxY8afek788QxepRxnB2VLps%3D&ref=L%3A-2837858685631050888&srno=b_41
